ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
2019-09-01,ºÏ°­¸ª(104),X,27.7,26.9,22.8,18.1,71.1,X, ,X,³ôÀ½
2019-09-01,µ¿ÇØ(106),X,27.2,26.7,22.1,17.8,76.3,X, ,X,³·À½
2019-09-01,¼­¿ï(108),X,27.7,27.8,23.7,19.2,64,X, ,X,³ôÀ½
2019-09-01,ÀÎÃµ(112),X,27.6,26.3,23.6,20.4,73.5,X, ,X,³ôÀ½
2019-09-01,¿øÁÖ(114),X,27.3,26.9,22.2,17.4,70.8,X, ,X,³·À½
2019-09-01,¿ï¸ªµµ(115),X,27.7,25.5,22.9,20.7,77.5,X, ,X,³·À½
2019-09-01,¼ö¿ø(119),X,28.5,28.2,23.2,18.5,78.6,X, ,X,³·À½
2019-09-01,¿µ¿ù(121),X,27.7,27,21.3,17.2,82.1,X, ,X,³·À½
2019-09-01,ÃæÁÖ(127),X,28.2,26.7,21.9,16.8,82.3,X, ,X,³·À½
2019-09-01,¼­»ê(129),X,27.3,26.6,21.3,15.7,82.1,X, ,X,³ôÀ½
2019-09-01,¿ïÁø(130),X,28.6,26.9,22.9,18.1,76.9,X, ,X,³·À½
2019-09-01,Ã»ÁÖ(131),X,28.7,28.2,23.8,19.2,73,X, ,X,³ôÀ½
2019-09-01,´ëÀü(133),X,29.3,28.3,23.5,18.9,79,X, ,X,º¸Åë
2019-09-01,ÃßÇ³·É(135),X,27.1,25.7,21.2,15.6,78.3,X, ,X,³·À½
2019-09-01,¾Èµ¿(136),X,27.6,26.3,21.9,17.7,79.3,X, ,X,º¸Åë
2019-09-01,»óÁÖ(137),X,28.3,26.2,22,17.2,85.6,X, ,X,³·À½
2019-09-01,Æ÷Ç×(138),X,28.2,26.6,23.4,21.5,79.4,X, ,X,³·À½
2019-09-01,±º»ê(140),X,28.9,28,22.6,18.6,83,X, ,X,³·À½
2019-09-01,´ë±¸(143),X,28.3,26.6,21.9,19,89.9,X, ,X,³ôÀ½
2019-09-01,ÀüÁÖ(146),X,29.7,27.8,23.4,19,86.1,X, ,X,³ôÀ½
2019-09-01,¿ï»ê(152),X,27.8,26.3,22.6,20.1,85.8,X, ,X,³ôÀ½
2019-09-01,Ã¢¿ø(155),X,28.4,26.8,22.8,20.4,82.4,X, ,X,º¸Åë
2019-09-01,±¤ÁÖ(156),X,27.4,25,22.1,19.7,88.3,X, ,X,³ôÀ½
2019-09-01,ºÎ»ê(159),X,29.4,27.7,23.7,21.4,82.4,X, ,X,º¸Åë
2019-09-01,Åë¿µ(162),X,29.2,26.9,23.1,21.2,90.5,X, ,X,³·À½
2019-09-01,¸ñÆ÷(165),X,26.4,24,22.2,21,83.1,X, ,X,º¸Åë
2019-09-01,¿©¼ö(168),X,27.4,25.5,23,21.1,84.5,X, ,X,³·À½
2019-09-01,Èæ»êµµ(169),X,,23.6,20.9,19.3,84.1,X, ,X,³·À½
2019-09-01,¿Ïµµ(170),X,27.2,25.3,22,20,88.3,X, ,X,³·À½
2019-09-01,°íÃ¢(172),X,28,26.3,21.9,17.6,84.3,X, ,X,³·À½
2019-09-01,Á¦ÁÖ(184),X,27.6,26.3,23.3,20.6,80.6,X, ,X,º¸Åë
2019-09-01,ÁøÁÖ(192),X,26.9,24.8,21.4,18.7,87.8,X, ,X,³·À½
2019-09-01,¾çÆò(202),X,27.8,27.6,22.1,17.3,75.9,X, ,X,³·À½
2019-09-01,ÀÌÃµ(203),X,28.3,27.3,21.6,15.5,81,X, ,X,³·À½
2019-09-01,ÀÎÁ¦(211),X,26.4,26.6,20.3,16,75.8,X, ,X,³·À½
2019-09-01,È«Ãµ(212),X,28.4,28.3,22,17.4,78,X, ,X,³·À½
2019-09-01,ÅÂ¹é(216),X,25.7,25.4,18.7,12.6,79,X, ,X,³·À½
2019-09-01,Á¤¼±±º(217),X,27.2,27.4,20.9,16.4,72.6,X, ,X,³·À½
2019-09-01,Á¦Ãµ(221),X,27.1,26.8,20.1,14,80.6,X, ,X,³·À½
2019-09-01,º¸Àº(226),X,29.4,28.6,21.8,16.2,83.4,X, ,X,³·À½
2019-09-01,Ãµ¾È(232),X,27.5,26.6,21,15.1,83,X, ,X,³·À½
2019-09-01,º¸·É(235),X,28.1,27,22.2,18.1,80.9,X, ,X,³·À½
2019-09-01,ºÎ¿©(236),X,28.9,28.3,22.2,17.1,82.8,X, ,X,³·À½
2019-09-01,±Ý»ê(238),X,27.8,27.5,21.7,16.2,75.3,X, ,X,³·À½
2019-09-01,¼¼Á¾(239),X,28.6,27.4,22.1,17.8,83.4,X, ,X,³ôÀ½
2019-09-01,ºÎ¾È(243),X,28.9,28.2,23,18.6,78.3,X, ,X,³·À½
2019-09-01,ÀÓ½Ç(244),X,27.2,25.7,20.7,16.3,83.1,X, ,X,³·À½
2019-09-01,Á¤À¾(245),X,27.7,26.7,22,18,79.9,X, ,X,³·À½
2019-09-01,³²¿ø(247),X,26.6,25.2,20.9,17.5,84.5,X, ,X,³·À½
2019-09-01,Àå¼ö(248),X,26.2,25.2,19.9,14.3,76.9,X, ,X,³·À½
2019-09-01,¿µ±¤±º(252),X,27.5,25.6,21.8,17.7,87,X, ,X,³·À½
2019-09-01,±èÇØ½Ã(253),X,30.3,28.6,23.4,20.8,86.9,X, ,X,³·À½
